LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price,Order Price
C54429,MPL3115A2R1,NXP Semicon,,LGA-8_3x5mm,LGA-8_3x5mm Pressure Sensors RoHS,YES,1,1\1,$8.28 ,$8.28 
C76873,PS1240P02CT3,TDK,,Through Hole,"Piezo NO 4000Hz 60dB @ 3V, 10cm 3V Φ12.2mm Through Hole Buzzers RoHS",YES,5,1\1,$0.27 ,$1.33 
C72037,17-21SURC/S530-A3/TR8,Everlight Elec,,805,Red 624~632nm 0805 Light Emitting Diodes (LED) RoHS,YES,50,50\50,$0.02 ,$0.77 
C142303,17-21SYGC/S530-E3/TR8,Everlight Elec,,805,Green-yellow 573nm 0805 Light Emitting Diodes (LED) RoHS,YES,20,20\20,$0.02 ,$0.34 
C72035,17-21/BHC-XL2M2TY/3T,Everlight Elec,,805,Blue 465~470nm 0805 Light Emitting Diodes (LED) RoHS,YES,20,20\20,$0.03 ,$0.59 
C24112,MPU-6050,TDK InvenSense,,QFN-24_4x4x05P,QFN-24_4x4x05P Attitude Sensors RoHS,YES,2,1\1,$4.49 ,$8.98 
C83170,CC0805KRX7R9BB103,YAGEO,,805,10nF ±10% 50V X7R 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS,YES,50,50\50,$0.01 ,$0.30 
C386062,LMK212SD104KG-T,Taiyo Yuden,,805,100nF ±10% 10V X7R 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS,YES,5,5\5,$0.11 ,$0.56 
C1728,CL21B222KBANNNC,Samsung Electro-Mechanics,,805,2.2nF ±10% 50V X7R 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS,YES,50,50\50,$0.01 ,$0.44 
C95841,CL21B106KOQNNNE,Samsung Electro-Mechanics,,805,10uF ±10% 16V X7R 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS,YES,10,10\10,$0.04 ,$0.40 
