Comment,Designator,Footprint,LCSC
"22pF","C17,C18","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","C458857"
"2.2nF","C20","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",""
"2.2uF","C21,C23","Capacitor_SMD:C_0402_1005Metric",""
"0.1uF","C22,C26","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",""
"47uF","C24,C27","Capacitor_SMD:C_0402_1005Metric",""
"10nF","C25","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",""
"100nF","C28,C29,C32","Capacitor_SMD:C_0402_1005Metric",""
"10uF","C3,C5","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",""
"10uF","C30","Capacitor_SMD:C_0402_1005Metric",""
"C_SS","C31","Capacitor_SMD:C_0402_1005Metric",""
"100n","C6,C8,C10,C11,C12,C13,C14,C15,C16,C19","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",""
"1u","C7,C9","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",""
"LED_B","D2","LED_SMD:LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder",""
"LED_R","D3,D5,D6","LED_SMD:LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder",""
"LED_G","D4","LED_SMD:LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder",""
"B340AG","D7","Diode_SMD:D_SMB","C433997"
"MMBZ5242B","D8","Diode_SMD:D_SOT-23_ANK"," C193729"
"Conn_02x20_Odd_Even","J1","Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical",""
"Connector_USB_B_Micro","J2","Connector_USB:USB_Micro-B_Amphenol_10118194_Horizontal",""
"Conn_02x04_Odd_Even","J3","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical",""
"Conn_01x08","J8","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical",""
"Conn_02x08_Odd_Even","J9","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical",""
"SolderJumper_3_Open","JP1","Jumper:SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels",""
"MCU_EN","JP2","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm",""
"IO_EN","JP3","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm",""
"8.2uH","L2","Inductor_SMD:L_Bourns_SRP7028A_7.3x6.6mm","Mouser 652-SRP7028AA-8R2M"
"ESC1_VCC","P1","TestPoint:TestPoint_Pad_2.0x2.0mm",""
"ESC1_GND","P2","TestPoint:TestPoint_Pad_D2.0mm",""
"LIPO_VCC","P3","TestPoint:TestPoint_Pad_2.0x2.0mm",""
"LIPO_GND","P4","TestPoint:TestPoint_Pad_D2.0mm",""
"ESC2_VCC","P5","TestPoint:TestPoint_Pad_2.0x2.0mm",""
"ESC2_GND","P6","TestPoint:TestPoint_Pad_D2.0mm",""
"DMP3013SFV","Q1","Package_SON:Diodes_PowerDI3333-8","C461072"
"49.9K","R10","Resistor_SMD:R_0402_1005Metric",""
"17.8K","R11","Resistor_SMD:R_0402_1005Metric",""
"27R","R12","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",""
"33R","R13,R15,R16","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",""
"47R","R14","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",""
"12K","R17","Resistor_SMD:R_0402_1005Metric",""
"27","R3,R4","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",""
"4K7","R5,R6","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",""
"1k","R7","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",""
"100K","R8","Resistor_SMD:R_0402_1005Metric",""
"604R","R9","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",""
"BOOT_SEL","SW1","Button_Switch_SMD:SW_SPST_PTS810","C92589"
"RESET","SW2","Button_Switch_SMD:SW_SPST_PTS810","C92589"
"SPI_CS","TP1","TestPoint:TestPoint_Pad_D1.0mm",""
"SPI_MOSI","TP2","TestPoint:TestPoint_Pad_D1.0mm",""
"SPI_3V3","TP3","TestPoint:TestPoint_Pad_D1.0mm",""
"SPI_SCK","TP4","TestPoint:TestPoint_Pad_D1.0mm",""
"SPI_GND","TP5","TestPoint:TestPoint_Pad_D1.0mm",""
"SPI_MISO","TP6","TestPoint:TestPoint_Pad_D1.0mm",""
"TestPoint_Small","TP7,TP8","TestPoint:TestPoint_Pad_D1.0mm",""
"LD1117S33TR_SOT223","U2","Package_TO_SOT_SMD:SOT-223-3_TabPin2","C347229"
"RP2040","U3","RP2040_minimal:RP2040-QFN-56","C2040"
"W25Q128JVS","U4","Package_SO:SOIC-8_5.23x5.23mm_P1.27mm","C97521"
"MPU-6050","U5","Sensor_Motion:InvenSense_QFN-24_4x4mm_P0.5mm",""
"LMR16030SDDAR","U6","Package_SO:Texas_HSOP-8-1EP_3.9x4.9mm_P1.27mm_ThermalVias","C136648"
"USBLC6-2P6","U7","Package_TO_SOT_SMD:SOT-666","C15999"
"12MHz ±30ppm 16pF 50Ω SMD-5032_2P SMD","Y1","Crystal:Crystal_SMD_TXC_7A-2Pin_5x3.2mm","C90884"
