Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0402_1005Metric",237.275000,-115.900000,270.000000,top
"C2","0.1uF","C_0402_1005Metric",238.500000,-120.275000,180.000000,top
"C3","0.1uF","C_0402_1005Metric",237.275000,-117.900000,90.000000,top
"C4","2200pF","C_0402_1005Metric",243.625000,-118.450000,90.000000,top
"C5","0.1uF","C_0402_1005Metric",233.875000,-118.100000,0.000000,top
"C6","10uF","C_0402_1005Metric",233.375000,-119.650000,90.000000,top
"C7","0.1uF","C_0402_1005Metric",233.775000,-115.400000,0.000000,top
"J4","Micro_SD_Card","microSD_HC_Wuerth_693072010801",222.750000,-72.200000,90.000000,top
"R1","R_Small","R_0402_1005Metric",251.800000,-80.025000,180.000000,top
"R2","R_Small","R_0402_1005Metric",251.750000,-78.650000,0.000000,top
"R3","R_Small","R_0402_1005Metric",240.700000,-71.000000,0.000000,top
"R4","R_Small","R_0402_1005Metric",240.640000,-73.675000,180.000000,top
"U2","MPU-6050","InvenSense_QFN-24_4x4mm_P0.5mm",240.450000,-117.100000,270.000000,top
"U3","MPL3115A2","NXP_LGA-8_3x5mm_P1.25mm_H1.1mm",230.850000,-117.300000,180.000000,top
