Comment,Designator,Footprint,LCSC
100nF,"C1,C2,C11",Capacitor_SMD:C_0402_1005Metric,C129131
C_SS 3nF,C10,Capacitor_SMD:C_0402_1005Metric,C2857967
22pF,"C12,C21",Capacitor_SMD:C_0402_1005Metric,C342943
10u,C13,Capacitor_SMD:C_0402_1005Metric,C315248
0.1uF,"C18,C19,C20,C25,C28",Capacitor_SMD:C_0402_1005Metric,C129131
10nF,C22,Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C60133
0.1uF,"C23,C27",Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C129131
2.2nF,C26,Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C1531
120uF,C29,Capacitor_SMD:C_0402_1005Metric,C445416
10uF,"C3,C4,C5,C14,C16,C17,C24",Capacitor_SMD:C_0402_1005Metric,C315248
2.2uF,"C6,C7",Capacitor_SMD:C_0402_1005Metric,C385887
47uF,"C8,C9",Capacitor_SMD:C_0402_1005Metric,C16780
MMBZ5242B,D1,Diode_SMD:D_SOT-23_ANK,C193729
B340AG,D2,Diode_SMD:D_SMC,C433997
LED_GREEN,D3,LED_SMD:LED_0402_1005Metric,C264408
LED_RED,D4,LED_SMD:LED_0402_1005Metric,C136765
MountingHole,"H1,H2,H3,H4",MountingHole:MountingHole_3mm_Pad_Via,null
Power Jumper,J1,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,null
PI_20,J10,Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical,null
ANALOG_BOOT_PINS ,J11,Connector_PinHeader_2.54mm:PinHeader_2x07_P2.54mm_Vertical,null
USB_A,"J13,J15,J16,J17",Connector_USB:USB_A_Molex_67643_Horizontal,C591765
Micro_SD_Card,J14,Connector_Card:microSD_HC_Wuerth_693072010801,Source for MCU
Barrel_Jack,J2,Connector_BarrelJack:BarrelJack_CUI_PJ-063AH_Horizontal_CircularHoles,C381112
WiFi_BT_Disable,J3,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,null
GLOBAL_EN_RUN_PG,J4,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,null
USB_B_Micro,"J5,J9",Connector_USB:USB_Micro-B_Amphenol_10118194_Horizontal,C132563
THD-02-R,J6,Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical,null
HDMI_A_1.4,"J7,J8",CM4IO:EDAC 690-019-298-412,C138388 
3v3_SEL,JP1,Jumper:SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,null
CPU_5V_EN,JP2,Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,null
8.2uH,L1,Inductor_SMD:L_Bourns_SRP7028A_7.3x6.6mm,Mouser 652-SRP7028AA-8R2M
ComputeModule4-CM4,Module1,CM4IO:Raspberry-Pi-4-Compute-Module,null
DMP3013SFV,Q1,Package_SON:Diodes_PowerDI3333-8,C461072
12K,R1,Resistor_SMD:R_0402_1005Metric,C2909316
2.7K,R15,Resistor_SMD:R_0402_1005Metric,C160491
2.2K,"R18,R19",Resistor_SMD:R_0402_1005Metric,C2906865
100K,R2,Resistor_SMD:R_0402_1005Metric,C144809
49.9K,R3,Resistor_SMD:R_0402_1005Metric,C2906873
17.8K,R4,Resistor_SMD:R_0402_1005Metric,C77605
1K,"R5,R13",Resistor_SMD:R_0402_1005Metric,C226166
10K,R6,Resistor_SMD:R_0402_1005Metric,C258091
12K 1%,R8,Resistor_SMD:R_0402_1005Metric,C2909316
WAKE_BTN,SW1,Button_Switch_SMD:SW_SPST_PTS810,C116501
USB_5V_pad,TP1,TestPoint:TestPoint_Pad_D2.5mm,null
12V_pad,TP2,TestPoint:TestPoint_Pad_D2.5mm,null
Reg_5V_pad,TP3,TestPoint:TestPoint_Pad_D2.5mm,null
LED_FVoltage,TP4,TestPoint:TestPoint_Pad_D2.5mm,null
TestPoint,TP5,TestPoint:TestPoint_Pad_D2.5mm,null
LD1117S33TR_SOT223,U1,Package_TO_SOT_SMD:SOT-223-3_TabPin2,C347229
MPU-6050,U14,Sensor_Motion:InvenSense_QFN-24_4x4mm_P0.5mm,Source for MCU
LMR16030SDDAR,U2,Package_SO:Texas_HSOP-8-1EP_3.9x4.9mm_P1.27mm_ThermalVias,C136648
FE1.1s,U3,Package_SO:SSOP-28_3.9x9.9mm_P0.635mm, C9359
AP2822CKATR-G1,U5,Package_TO_SOT_SMD:SOT-23-5,Mouser 621-AP2822CKATR-G1
FSUSB30MUX,U6,Symbol:SOP50P490X110-10N,Mouser 512-FSUSB30MUX
AP2141D_(Active_Low),U7,Package_SO:MSOP-8-1EP_3x3mm_P0.65mm_EP1.68x1.88mm,Mouser 621-AP2141DMPG-13
74LVC1G07,"U8,U9",Package_TO_SOT_SMD:SOT-23-5,Mouser 595-74LVC1G07DBVTE4
12MHz,Y1,Crystal:Crystal_SMD_TXC_7A-2Pin_5x3.2mm,C557138
