Comment,Designator,Footprint,LCSC
"100nF","C1,C2,C11","Capacitor_SMD:C_0402_1005Metric",""
"C_SS","C10","Capacitor_SMD:C_0402_1005Metric",""
"22pF","C12,C21","Capacitor_SMD:C_0402_1005Metric",""
"10u","C13","Capacitor_SMD:C_0402_1005Metric",""
"22uF","C15,C36","Capacitor_SMD:C_0402_1005Metric",""
"0.1uF","C18,C19,C20,C38","Capacitor_SMD:C_0402_1005Metric",""
"10nF","C22","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",""
"0.1uF","C23,C27","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",""
"2.2nF","C26","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",""
"10uF","C3,C4,C5,C14,C16,C17","Capacitor_SMD:C_0402_1005Metric",""
"47nF","C37","Capacitor_SMD:C_0402_1005Metric",""
"2.2uF","C6,C7","Capacitor_SMD:C_0402_1005Metric",""
"47uF","C8,C9","Capacitor_SMD:C_0402_1005Metric",""
"MMBZ5242B","D1","Diode_SMD:D_SOT-23_ANK"," C193729"
"B340AG","D2","Diode_SMD:D_SMC","C433997"
"LED_GREEN","D3","LED_SMD:LED_0402_1005Metric",""
"LED_RED","D4","LED_SMD:LED_0402_1005Metric",""
"MountingHole","H1,H2,H3,H4","MountingHole:MountingHole_3mm_Pad_Via",""
"Power Jumper","J1","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"PI_20","J10","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical",""
"ANALOG_BOOT_PINS ","J11","Connector_PinHeader_2.54mm:PinHeader_2x07_P2.54mm_Vertical",""
"USB_A","J13,J15,J16,J17","Connector_USB:USB_A_Molex_67643_Horizontal",""
"Micro_SD_Card","J14","Connector_Card:microSD_HC_Wuerth_693072010801",""
"Barrel_Jack","J2","Connector_BarrelJack:BarrelJack_CUI_PJ-063AH_Horizontal_CircularHoles","C381112"
"WiFi_BT_Disable","J3","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"GLOBAL_EN_RUN_PG","J4","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"USB_B_Micro","J5,J9","Connector_USB:USB_Micro-B_Amphenol_10118194_Horizontal","C132563"
"THD-02-R","J6","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical",""
"HDMI_A_1.4","J7,J8","CM4IO:EDAC 690-019-298-412","C138388 "
"3v3_SEL","JP1","Jumper:SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm",""
"CPU_5V_EN","JP2","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm",""
"8.2uH","L1","Inductor_SMD:L_Bourns_SRP7028A_7.3x6.6mm","Mouser 652-SRP7028AA-8R2M"
"ComputeModule4-CM4","Module1","CM4IO:Raspberry-Pi-4-Compute-Module",""
"DMP3013SFV","Q1","Package_SON:Diodes_PowerDI3333-8",""
"12K","R1","Resistor_SMD:R_0402_1005Metric",""
"68K","R11","Resistor_SMD:R_0402_1005Metric",""
"2.7K","R15","Resistor_SMD:R_0402_1005Metric",""
"2.2K","R18,R19","Resistor_SMD:R_0402_1005Metric",""
"100K","R2","Resistor_SMD:R_0402_1005Metric",""
"49.9K","R3","Resistor_SMD:R_0402_1005Metric",""
"17.8K","R4","Resistor_SMD:R_0402_1005Metric",""
"1K","R5,R13","Resistor_SMD:R_0402_1005Metric",""
"12K 1%","R8","Resistor_SMD:R_0402_1005Metric",""
"WAKE_BTN","SW1","Button_Switch_SMD:SW_SPST_PTS810",""
"USB_5V_pad","TP1","TestPoint:TestPoint_Pad_D2.5mm",""
"12V_pad","TP2","TestPoint:TestPoint_Pad_D2.5mm",""
"Reg_5V_pad","TP3","TestPoint:TestPoint_Pad_D2.5mm",""
"LED_FVoltage","TP4","TestPoint:TestPoint_Pad_D2.5mm",""
"TestPoint","TP5","TestPoint:TestPoint_Pad_D2.5mm",""
"LD1117S33TR_SOT223","U1","Package_TO_SOT_SMD:SOT-223-3_TabPin2","C347229"
"MPU-6050","U14","Sensor_Motion:InvenSense_QFN-24_4x4mm_P0.5mm",""
"LMR16030SDDAR","U2","Package_SO:Texas_HSOP-8-1EP_3.9x4.9mm_P1.27mm_ThermalVias","C136648"
"FE1.1s","U3","Package_SO:SSOP-28_3.9x9.9mm_P0.635mm",""
"MPQ5071","U4","Package_DFN_QFN:QFN-12_EP_2x2_Pitch0.4mm","Digikey MPQ5071GG-AEC1-Z"
"AP2822CKATR-G1","U5","Package_TO_SOT_SMD:SOT-23-5",""
"FSUSB30MUX","U6","Symbol:SOP50P490X110-10N","512-FSUSB30MUX"
"74LVC1G07","U8,U9","Package_TO_SOT_SMD:SOT-23-5","Mouser 595-74LVC1G07DBVTE4"
"12MHz","Y1","Crystal:Crystal_SMD_TXC_7A-2Pin_5x3.2mm",""
