Designator,Footprint,Quantity,Value,LCSC Part #
A1,PCB_ANT,1,PCB Antenna,-
"C1, C13, C14, C17, C18, C2, C20, C21, C23, C26, C27, C31, C34, C4, C46, C50, C52",0402,17,0.1uF,C6119799
"C10, C9",0402,2,1.2pF,C880658
"C11, C15, C22, C24, C25, C44, C45, C47, C51",0402,9,10uF,C23692971
"C12, C16, C19, C3, C6",0402,5,1uF,C2887021
"C28, C32",CP_Radial_D10.0mm_P5.00mm,2,1000uF,C503217
"C29, C5",0402,2,10nF,C688874
C30,CP_Radial_D5.0mm_P2.00mm,1,1uF,C2960204
"C33, C37",CP_Radial_D8.0mm_P3.80mm,2,470uF,C7499907
"C35, C36",CP_Radial_D18.0mm_P7.50mm,2,100uF,C2843909
"C38, C39",CP_Radial_D16.0mm_P7.50mm,2,2.2uF,C711636
C40,2220,1,0.1uF 275VAC,C5290327
"C41, C42",2220,2,0.1uF,C5290327
C43,0603,1,10nF,C100042
"C48, C49, C53, C54",0402,4,22uF,C415703
"C7, C8",0402,2,6pF,C437443
CHOKE1,Choke_Schaffner_RN216-04-15.5x23.0mm,1,2MH 10A,C2831473
"D1, D3, D4",D_SOD-923,3,ESD9B3.3ST5G,C5180230
"D10, D11, D12, D13",D_DO-15_P3.81mm_Vertical_KathodeUp,4,HER207,C31251
"D14, D15, D16, D17",D_DO-15_P3.81mm_Vertical_KathodeUp,4,IN4148,C402212
D18,Diode_Bridge_Vishay_GBU,1,GBU406,C5632681
D2,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,1,SK6812,C5380881
D5,D_DO-41_SOD81_P10.16mm_Horizontal,1,1N5819,C110032
"D6, D7, D9",0603,3,LED,C7501578
J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0_14P,C2765186
J10,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,UART JST,-
J11,USB_A_Molex_67643_Horizontal,1,USB_A,C591765
J12,USB_C_C783299,1,USB_C_Receptacle_USB2.0_14P,C783299
J2,JST_EH_B6B-EH-A_1x06_P2.50mm_Vertical,1,SPI JST,-
J3,PinHeader_1x03_P2.54mm_Vertical,1,Input Switch,-
J4,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,1,12V Battery Input,C8269
J5,PinHeader_1x02_P2.54mm_Vertical,1,Fan Connector,-
J6,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,1,AC Outlet,C8269
J7,PinHeader_1x17_P2.54mm_Vertical,1,EGS002,-
J8,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,I2C JST,-
J9,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,1,POWER JST,-
L1,0402,1,2.0nH,C76769
L2,0402,1,2.4nH,C913678
