Designator,Mid X,Mid Y,Rotation,Layer
A1,190.3,-147.5,180.0,top
C1,203.2,-124.968,0.0,top
C10,194.98,-143.0,0.0,top
C11,201.0,-133.58,270.0,top
C12,199.78,-133.58,270.0,top
C13,198.56,-133.58,270.0,top
C14,196.1,-133.58,270.0,top
C15,181.87,-139.94,90.0,top
C16,204.5,-133.58,90.0,top
C17,206.2,-123.58,270.0,top
C18,206.2,-117.287143,270.0,top
C19,172.295,-135.81,270.0,top
C2,202.431667,-117.4,90.0,top
C20,180.67,-139.95,90.0,top
C21,181.87,-135.78,90.0,top
C22,180.67,-135.78,90.0,top
C23,180.67,-137.86,270.0,top
C24,181.87,-137.84,270.0,top
C25,165.0,-136.2,180.0,top
C26,171.0,-133.0,90.0,top
C27,63.6138,-128.7272,90.0,top
C28,66.294,-98.4104,90.0,top
C29,79.7062,-124.25755,180.0,top
C3,203.7,-117.4,90.0,top
C30,84.8012,-132.3848,0.0,top
C31,91.6432,-120.324533,0.0,top
C32,144.48089,-110.744,0.0,top
C33,165.028077,-112.0648,180.0,top
C34,131.4424,-142.9512,0.0,top
C35,136.88778,-91.694,180.0,top
C36,160.214,-98.806,0.0,top
C37,155.351833,-112.1156,0.0,top
C38,129.54,-110.296,90.0,top
C39,129.54,-127.568,90.0,top
C4,189.1,-123.163333,180.0,top
C40,200.152,-63.246,270.0,top
C41,160.528,-45.72,0.0,top
C42,195.072,-45.974,0.0,top
C43,75.121,-97.9932,180.0,top
C44,64.7314,-128.7272,90.0,top
C45,113.729,-137.0076,270.0,top
C46,112.5098,-137.0076,270.0,top
C47,152.5602,-131.5212,180.0,top
C48,152.5602,-129.326533,180.0,top
C49,152.5602,-130.423867,180.0,top
C5,189.12,-121.991667,180.0,top
C50,158.6484,-129.8448,90.0,top
C51,140.942,-131.5212,180.0,top
C52,147.002,-129.8956,90.0,top
C53,140.942,-130.4408,180.0,top
C54,140.942,-129.3604,180.0,top
C6,189.12,-120.82,180.0,top
C7,184.3,-132.1,90.0,top
C8,184.3,-129.7,90.0,top
C9,194.98,-139.9,0.0,top
CHOKE1,183.468,-102.2195,90.0,top
D1,176.7332,-138.3284,180.0,top
D10,129.6416,-68.834,90.0,top
D11,129.6416,-76.454,90.0,top
D12,134.112,-68.834,90.0,top
D13,134.112,-76.454,90.0,top
D14,131.953,-60.6044,0.0,top
D15,150.0886,-60.5536,0.0,top
D16,167.6146,-60.706,0.0,top
D17,184.8152,-60.5536,0.0,top
D18,65.4304,-71.4248,270.0,top
D2,191.0,-114.77,90.0,top
D3,169.7,-130.2,90.0,top
D4,169.7,-131.9,90.0,top
D5,165.0,-143.9,270.0,top
D6,185.1825,-117.54,180.0,top
D7,179.31,-117.6,180.0,top
D9,93.1164,-118.1608,90.0,top
J1,172.4,-147.2,0.0,top
J10,203.5556,-76.2816,90.0,top
J11,154.43,-138.295,0.0,top
J12,139.4,-143.3575,0.0,top
J2,209.7532,-90.948933,90.0,top
J3,66.4972,-117.602,270.0,top
J4,66.3956,-109.9712,270.0,top
J5,121.8692,-144.9374,180.0,top
J6,208.026,-63.032,90.0,top
J7,97.8408,-146.2024,90.0,top
J8,209.7532,-76.3324,90.0,top
J9,203.6064,-93.452,90.0,top
L1,197.33,-133.58,90.0,top
L2,194.48,-141.45,90.0,top
L3,172.466,-75.946,180.0,top
L4,152.5802,-128.2192,0.0,top
L5,140.3604,-127.9906,0.0,top
Q1,180.43,-126.995,0.0,top
Q10,154.9764,-52.0192,0.0,top
Q11,189.622,-52.1716,0.0,top
Q12,178.1975,-121.36,0.0,top
Q13,184.08,-121.3,0.0,top
Q2,170.05,-127.17,180.0,top
Q3,102.954667,-105.664,180.0,top
Q4,114.046,-105.664,180.0,top
Q5,80.772,-105.664,180.0,top
Q6,91.863333,-105.73,180.0,top
Q7,117.4863,-141.0716,270.0,top
Q8,172.4516,-52.1716,0.0,top
Q9,136.7742,-52.0374,0.0,top
R1,201.153333,-117.4,90.0,top
R10,194.7,-117.42,90.0,top
R11,173.59,-135.81,270.0,top
R12,171.0,-135.81,270.0,top
R13,174.895,-135.81,90.0,top
R14,176.2,-135.81,270.0,top
R15,174.55,-126.26,90.0,top
R16,175.75,-126.26,270.0,top
R17,189.1,-126.728333,180.0,top
R18,172.05,-125.85,180.0,top
R19,178.44,-125.85,0.0,top
R2,199.865,-117.4,90.0,top
R20,167.386,-127.0825,270.0,top
R21,183.2356,-127.1016,270.0,top
R22,179.47,-137.84,270.0,top
R23,67.8302,-125.222,180.0,top
R24,106.5662,-138.6332,0.0,top
R25,170.0,-141.7,180.0,top
R26,174.9,-141.7,0.0,top
R27,80.2762,-119.6848,180.0,top
R28,80.2762,-122.9133,180.0,top
R29,80.2762,-121.29905,180.0,top
R3,198.576667,-117.4,90.0,top
R30,92.202,-128.4732,0.0,top
R31,81.124,-126.3518,90.0,top
R32,79.5262,-126.3518,270.0,top
R33,91.44,-118.1608,90.0,top
R34,92.2142,-126.789467,0.0,top
R35,92.2142,-125.105733,0.0,top
R36,92.2142,-121.738267,0.0,top
R37,92.2142,-123.422,0.0,top
R38,78.232,-132.588,90.0,top
R39,78.232,-140.462,270.0,top
R4,197.288333,-117.4,90.0,top
R40,131.9784,-141.5796,0.0,top
R41,131.9784,-139.9032,0.0,top
R42,131.9784,-138.2776,180.0,top
R43,118.0451,-143.6901,180.0,top
R44,129.3066,-56.8452,90.0,top
R45,131.1862,-56.7944,90.0,top
R46,147.5232,-56.7944,90.0,top
R47,149.1996,-56.7944,90.0,top
R48,164.9984,-57.0484,90.0,top
R49,182.1688,-56.896,90.0,top
R5,196.0,-117.4,90.0,top
R50,166.8272,-57.0362,90.0,top
R51,183.7944,-56.896,90.0,top
R52,75.121,-99.822,180.0,top
R53,110.173,-140.462,180.0,top
R54,192.79,-130.9,180.0,top
R55,192.79,-132.1,180.0,top
R56,206.2,-104.641429,90.0,top
R57,206.2,-110.974286,90.0,top
R58,140.0048,-140.6144,90.0,top
R59,184.6825,-116.04,0.0,top
R6,189.1,-124.345,180.0,top
R60,138.7856,-140.6144,90.0,top
R61,178.81,-116.1,0.0,top
R62,109.6142,-141.9352,180.0,top
R64,205.81,-130.4,0.0,top
R65,205.81,-129.3,0.0,top
R7,189.105,-125.536667,180.0,top
R8,189.24,-132.1,270.0,top
R9,203.2,-133.58,270.0,top
RV1,127.254,-142.9004,90.0,top
SW1,209.775,-122.633571,0.0,top
SW2,209.775,-116.314047,0.0,top
SW4,209.775,-103.675,0.0,top
SW5,209.775,-109.994524,0.0,top
T1,101.854,-72.202,0.0,top
U1,197.099999,-125.356668,90.0,top
U10,144.217,-130.4544,180.0,top
U11,155.8235,-130.4392,180.0,top
U2,199.4,-110.32,0.0,top
U3,175.35,-130.9,90.0,top
U4,187.42,-137.74,180.0,top
U5,86.2452,-124.2314,270.0,top
U6,144.78,-118.684,180.0,top
U7,156.21,-118.684,180.0,top
U8,68.0842,-128.1684,180.0,top
U9,109.7357,-137.627,0.0,top
Y1,186.74,-130.9,90.0,top
