Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",119.550000,-68.850000,180.000000,top
"C2","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",119.550000,-70.850000,180.000000,top
"C3","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",119.550000,-69.850000,180.000000,top
"C4","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",121.900000,-69.000000,0.000000,top
"C5","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",121.900000,-68.000000,0.000000,top
"C6","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",121.900000,-67.000000,0.000000,top
"C7","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",119.550000,-66.850000,180.000000,top
"C8","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",119.550000,-65.850000,180.000000,top
"C9","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",121.900000,-66.000000,0.000000,top
"C10","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",119.550000,-64.850000,180.000000,top
"C11","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",121.900000,-65.000000,0.000000,top
"C12","22pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",131.900000,-76.000000,180.000000,top
"C13","22pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",131.900000,-68.900000,180.000000,top
"C14","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",110.700000,-82.250000,-90.000000,top
"C15","10uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",119.000000,-62.650000,180.000000,top
"C16","10uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",116.650000,-62.632500,180.000000,top
"C17","2.2nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",122.150000,-86.650000,90.000000,top
"C18","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",128.500000,-87.400000,90.000000,top
"C19","10nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",127.552500,-85.100000,180.000000,top
"C20","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",128.500000,-89.850000,-90.000000,top
"C21","4.7uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",128.200000,-51.050000,0.000000,top
"C23","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",130.100000,-51.500000,-90.000000,top
"C24","100uF","C_1206_3216Metric",122.500000,-53.500000,90.000000,top
"D1","LED_B","LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder",126.172500,-103.300000,180.000000,top
"D2","LED_R","LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder",126.180000,-105.400000,180.000000,top
"D3","LED_G","LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder",126.200000,-107.400000,180.000000,top
"D4","LED_R","LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder",110.700000,-56.350000,90.000000,top
"D5","LED_R","LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder",112.400000,-56.347500,90.000000,top
"D6","D_Schottky","D_SMA",131.600000,-56.150000,90.000000,top
"J1","Connector_USB_B_Micro","USB_Micro-B_Amphenol_10118194_Horizontal",112.700000,-72.750000,-90.000000,top
"L1","8.2uH","L_7.3x7.3_H3.5",128.650000,-63.750000,180.000000,top
"R1","27","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",119.500000,-72.950000,0.000000,top
"R2","27","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",119.500000,-71.950000,0.000000,top
"R3","1k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",118.750000,-75.800000,180.000000,top
"R4","DNP","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",117.800000,-76.850000,0.000000,top
"R5","604R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",129.600000,-73.150000,90.000000,top
"R6","4K7","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",125.202500,-83.950000,180.000000,top
"R7","4K7","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",125.252500,-85.100000,180.000000,top
"R8","49.9K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",125.700000,-51.050000,0.000000,top
"R9","100K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",125.050000,-59.250000,180.000000,top
"R10","47R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",126.172500,-104.300000,180.000000,top
"R11","62R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",126.180000,-106.400000,180.000000,top
"R12","62R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",126.190000,-108.400000,180.000000,top
"R13","62R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",110.700000,-58.900000,-90.000000,top
"R14","62R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",112.400000,-58.900000,-90.000000,top
"R15","17.8K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",123.250000,-57.400000,90.000000,top
