Comment,Designator,Footprint,LCSC
"100n","C1,C3,C5,C6,C7,C8,C9,C10,C11,C14","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","C129131"
"22pF","C12,C13","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","C342943"
"10uF","C15,C16","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","C60133"
"2.2nF","C17","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","C1531"
"0.1uF","C18,C20,C23","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","C129131"
"10nF","C19","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","C60133"
"1u","C2,C4","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","C92755"
"4.7uF","C21","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","C23733"
"100uF","C24","Capacitor_SMD:C_1206_3216Metric","C15008"
"LED_B","D1","LED_SMD:LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder","C434447"
"LED_R","D2,D4,D5","LED_SMD:LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder","C136765"
"LED_G","D3","LED_SMD:LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder","C264408"
"D_Schottky","D6","Diode_SMD:D_SMA","C8678"
"Connector_USB_B_Micro","J1","Connector_USB:USB_Micro-B_Amphenol_10118194_Horizontal","C132563"
"Additional IO","J2","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical",""
"Conn_01x07","J3","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical",""
"Conn_02x07_Odd_Even","J5","Connector_PinHeader_2.54mm:PinHeader_2x07_P2.54mm_Vertical",""
"IO Power","J6","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical",""
"Conn_02x20_Odd_Even","J7","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical",""
"Conn_01x08","J8","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical",""
"MCU_EN","JP1","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm",""
"SolderJumper_3_Bridged12","JP2","Jumper:SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm_NumberLabels",""
"IO_EN","JP3","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm",""
"SolderJumper_2_Open","JP4,JP5","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm",""
"8.2uH","L1","Inductor_SMD:L_7.3x7.3_H3.5","C334083"
"LIPO_VCC","P1","TestPoint:TestPoint_Pad_2.0x2.0mm",""
"LIPO_GND","P2","TestPoint:TestPoint_Pad_D2.0mm",""
"ESC1_VCC","P3","TestPoint:TestPoint_Pad_2.0x2.0mm",""
"ESC1_GND","P4","TestPoint:TestPoint_Pad_D2.0mm",""
"ESC2_VCC","P5","TestPoint:TestPoint_Pad_2.0x2.0mm",""
"ESC2_GND","P6","TestPoint:TestPoint_Pad_D2.0mm",""
"27","R1,R2","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","C413051"
"47R","R10","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","C25118"
"62R","R11,R12,R13,R14","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","C227405"
"17.8K","R15","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","C129766"
"1k","R3","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","C226166"
"DNP","R4","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",""
"604R","R5","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","C273693"
"4K7","R6,R7","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","C304616"
"49.9K","R8,R16","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","C25897"
"100K","R9","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","C25741"
"BOOT_SEL","SW1","Button_Switch_SMD:SW_SPST_PTS810","C92589"
"RESET","SW2","Button_Switch_SMD:SW_SPST_PTS810","C92589"
"GND_BAT_Probe","TP1","TestPoint:TestPoint_Pad_D1.0mm",""
"5V_BAT_Probe","TP2","TestPoint:TestPoint_Pad_D1.0mm",""
"RP2040","U1","RP2040:RP2040-QFN-56","C2040"
"W25Q128JVS","U2","Package_SO:SOIC-8_5.23x5.23mm_P1.27mm","C97521"
"LD1117S33TR_SOT223","U3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","C347229"
"MPU-6050","U4","Sensor_Motion:InvenSense_QFN-24_4x4mm_P0.5mm","C24112"
"LMR16030SDDAR","U5","LMR16030SDDAR:LMR16030SDDAR"," C136648"
"USBLC6-2P6","U6","Package_TO_SOT_SMD:SOT-666","C15999"
"12MHz ±30ppm 16pF 50Ω SMD-5032_2P SMD","Y1","Crystal:Crystal_SMD_TXC_7A-2Pin_5x3.2mm","C90884"
